"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0401"	"40Ltd"	"Khodadad Circle"	" "	" "	"Dindoshi Bus Stn."	21.55	24.20				"Mon-Sat-Hol"	2			
"0401"	"40Ltd"	"Wadala Depot"	7.20	8.17	"Borivli Stn(E)"	" "	22.30	18	19	17	"Sunday"	4			
"0401"	"40Ltd"	"P.Thakre Udyan"	6.35	20.55	"Borivli Stn(E)"	8.07	22.10				"Sunday"	4			
"0401"	"40Ltd"	"P.Thakre Udyan"	7.00	23.00	"Borivli Station(E)"	5.40	21.23	19	20	20	"Sun-Hol"	4			
"0410"	41	"Ferry Wharf"	5.16	8.13	"Dockyard Road Stn"	5.05	8.21	21	25	23	"Mon-Fri"	2			
"0410"	41	"Ferry Wharf"	6.30	21.05	"Walkeshwar"	7.23	20.25				"Mon-Fri"	2			
"0410"	41	"Ferry Wharf"	7.00	9.58	"Kamala Nehru Park"	7.45	11.10				"Mon-Fri"	2			
"0410"	41	"Ferry Wharf"			"Nana Chk"	6.25					"Mon-Fri"	2			
"0410"	41	"Ferry Wharf"	5.16	7.23	"Dockyard Road Stn"	5.05	7.31	25	30	27	"Mon-Fri"	2			
"0410"	41	"Ferry Wharf"	6.30	20.55	"Walkeshwar"	7.23	20.20				"Saturday"	3			
"0410"	41	"Ferry Wharf"	7.00	9.53	"Kamala Nehru Park"	7.45	11.09				"Saturday"	3			
"0410"	41	"Ferry Wharf"			"Nana Chk"	6.25					"Saturday"	3			
"0410"	41	"Ferry Wharf"	5.11	8.13	"Dockyard Road Stn"	5.00	8.21				"Sunday"	4			
"0410"	41	"Ferry Wharf"	7.27	8.30	"Central Depot "						"Sunday"	4			
"0410"	41	"Ferry Wharf"	6.50	10.01	"Kamala Nehru Park"	7.45	10.59	38	42	42	"Holiday"	4			
"0410"	41	"Ferry Wharf"	10.39	21.05	"Walkeshwar"	11.37	20.45				"Holiday"	4			
"0410"	41	"Ferry Wharf"			"Nana Chk"	7.05					"Holiday"	4			
"0420"	42	"Ferry Wharf"	6.15	20.35	"Kamala Nehru Park"	7.00	20.30	14	15	16	"Mon-Sat"	2			
"0420"	42	"Ferry Wharf"	6.56	20.40	"Kamala Nehru Park"	7.40	20.43	23	25	25	"Sunday"	4			
"0420"	42	"Ferry Wharf"	6.56	20.40	"Kamala Nehru Park"	7.42	20.40	16	17	17	"Holiday"	4			
"0430"	43	"Ferry Wharf"	6.50	7.35	"Prateeksha Nagar"	4.45	5.25				"All Days"	1			
"0430"	43	"Colaba Bus Station."	6.25	6.55	"Ferry Wharf"	5.45	6.27				"All Days"	1			
"0430"	43	"M.P.Chowk(Mazgaon)"	7.15	21.00	"Prateeksha Nagar"	6.00	19.35	17	18	21	"Mon-Fri"	2			
"0430"	43	"M.P.Chowk(Mazgaon)"	7.15	21.10	"Prateeksha Nagar"	6.00	19.45	20	21	22	"Saturday"	3			
"0430"	43	"M.P.Chowk(Mazgaon)"	7.15	21.00	"Prteeksha Nagar Depot"	6.05	19.50	18	20	18	"Sun-Hol"	4			
"0440"	44	"R.C.Church"	6.00	23.45	"Worli Depot"	5.15	19.20	14	18	15	"Mon-Sat"	2			
