RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
35	11	11	11	SD	MLD	Com.P.K.Kurne Chowk	7.00	22.35	Marol Maroshi Bus Station	5.50	20.45	23.0	65	100	110		21	19	20	18	 	Marol Depot 	 	MS
	 	 	 	SD	MLD	Veer Kotwal Udyan	6.57	22.45	Marol Maroshi Bus Station	6.02	21.25	18.9	85	90										
	10	9	10	SD	MLD	Com.P.K.Kurne Chowk	7.10	21.35	Marol Maroshi Bus Station	6.05	20.00	23.0	60	80	 	90	18	23	19	21	19	Marol Depot 	 	SUN
						Veer Kotwal Udyan	21.38	22.00	Marol Maroshi Bus Station	20.25	20.50	19.3										 		
	10	9	10	SD	MLD	Com.P.K.Kurne Chowk	7.10	21.35	Marol Maroshi Bus Station	6.05	20.00	23.0	60	85	90		16	20	22	23	21	Marol Depot 	 	HOL
						Veer Kotwal Udyan	21.38	22.00	Marol Maroshi Bus Station	20.25	20.50	19.3												
37	16	15	16	SD	KLD	Kurla Stn(W)	5.30	22.10	J.Mehta Marg	6.30	22.50	23.8	65	95	105	110	11	24	26	26	28	Kurla Station(W)	35	MS
						Kurla Stn(W)	9.05	21.55	N.S.C.I.(Worli)	10.15	23.05	17.7												
	14	16	16	SD	KLD	Kurla Stn(W)	6.00	22.10	J.Mehta Marg	7.00	22.50	23.8	50	65	85	100	25	12	11	11	15	Kurla Station(W)	35	HOL
						Kalanagar			J.Mehta Marg	23.00	23.30	15.7												
	16	18	16	SD	KLD	Kurla Stn(W)	6.00	22.10	J.Mehta Marg	7.00	22.50	23.8	50	65	85	100	25	12	11	11	15	Kurla Station(W)	35	SUN
						Kalanagar			J.Mehta Marg	23.00	23.30	15.7												
38	7	7	7	SD	GGD	Jijamata Udyan	7.40	22.25	Goregaon Depot	6.20	20.35	22.8	80	105	110		12	32	35	32	32	Goregaon Depot	 --	MS
	6	6	6	SD	GGD	Jijamata Udyan	8.10	22.00	Goregaon Depot	7.05	20.20	22.8	60	70	80	95	 	25	28	28	 	Goregaon Depot	 ---	SUN
 	6	6	6	SD	GGD	Jijamata Udyan	8.15	22.00	Goregaon Depot	7.00	20.10	22.8	75	80	85	100	 	28	35	35	35	Goregaon Depot	 ---	HOL
39	8	7	8	SD	MJ	Com P.K.Kurne Chk.	6.25	22.40	SEEPZ Bus Station	5.25	21.05	19.8	50	80	90	100	19	23	28	27	27	SEEPZ Bus Station	20	MS
	7	7	7	SD	MJ	Com P.K.Kurne Chk.	6.45	21.35	SEEPZ Bus Station	5.45	20.05	19.8	55	80	85		22	24	25	26	 	SEEPZ Bus Station	20	SUN
	7	7	8	SD	MJ	Com P.K.Kurne Chk.	6.45	21.40	SEEPZ Bus Station	5.45	20.10	19.8	55	80	85		24	24	24	23	 	SEEPZ Bus Station	20	HOL
40Ltd	14	12	14	SD	WD	P.Thakre Udyan	8.32	23.05	Dindoshi Bus Stn.	10.40	21.40	24.3	90	95	110		10	14	16	15	19	P.Thakre Udyan	20	MS&HOL
	  	 	 	 	 	P.Thakre Udyan	6.15	8.05	Kandivli Stn(E)	7.30	9.45	29.3												
						P.Thakre Udyan	6.05	8.15	Borivli Stn(E)	5.35	10.00	31.9												
						Khodadad Circle	 	 	Dindoshi Bus Stn.	21.55	24.20	28.6												
	10	10	10	SD	WD	Wadala Depot	7.20	8.17	Borivli Stn(E)	 	22.30	28.6	90	95			15	18	19	17		P.Thakre Udyan	20	SUN
						P.Thakre Udyan	6.35	20.55	Borivli Stn(E)	8.07	22.10	31.9												
40Ltd	10	10	10	SD	MGT	P.Thakre Udyan	7.00	23.00	Borivli Station(E)	5.40	21.23	31.9	90	95			16	19	20	20	20	Magathane Depot 	 --	SH
41	5	4	5	SD	CND	Ferry Wharf	5.16	7.23	Dockyard Road Stn	5.05	7.31	11.3	50	60	65		 	25	30	27	 --	Walkeshwar/K.N.Park	30	MS
						Ferry Wharf	6.30	20.55	Walkeshwar	7.23	20.20	11.3												
						Ferry Wharf	7.00	9.53	Kamala Nehru Park	7.45	11.09	12.7												
						Ferry Wharf			Nana Chk	6.25		8.6												
	3	3	3	SD	CND	Ferry Wharf	6.50	10.01	Kamala Nehru Park	7.45	10.59	12.7	45	55	65		 	38	42	42		Walekshwar/K.N.Park	30	HOL
						Ferry Wharf	10.39	21.05	Walkeshwar	11.37	20.45	11.3					 							
						Ferry Wharf			Nana Chk	7.05		8.6												
42	8	8	8	SD	CND	Ferry Wharf	6.15	20.35	Kamala Nehru Park	7.00	20.30	10.7	42	55	60	65	12	14	15	16	15	Kamala Nehru Park	35	MS
	4	4	4	SD	CND	Ferry Wharf	6.56	20.40	Kamala Nehru Park	7.40	20.43	10.7	42	47			 ---	23	25	25	35	Kamala Nehru Park	35	SUN
	6	6	6	SD	CND	Ferry Wharf	6.56	20.40	Kamala Nehru Park	7.42	20.40	10.7	45	50			 	16	17	17	29	Kamala Nehru Park	35	HOL
43	8	7	8	SD	PR	M.P.Chowk(Mazgaon)	7.15	21.00	Prateeksha Nagar	6.00	19.35	14.3	70	75	80		19	17	18	21	 ---	Prateeksha Nagar Depot	 ---	MF
	8	7	8	SD	PR	M.P.Chowk(Mazgaon)	7.15	21.10	Prateeksha Nagar	6.00	19.45	14.3	70	75	80		25	20	21	22	22	Prateeksha Nagar Depot	 ---	SAT
						Ferry Wharf	6.50	7.35	Prateeksha Nagar	4.45	5.25	16.1												FW
						Colaba Bus Station.	6.25	6.55	Ferry Wharf	5.45	6.27	6.5												
	8	7	8	SD	PR	M.P.Chowk(Mazgaon)	7.15	21.00	Prteeksha Nagar Depot	6.05	19.50	14.3	65	68			20	18	20	18	20	Prateeksha Nagar Depot	 ---	SH
44	11	11	11	SD	CD	Colaba Depot	5.00	23.45	Worli Village	5.15	19.20	14.8	60	85	90	 	15	14	18	15	20	R.C.Church	15	MS
						Colaba Depot	5.35	23.35	Worli Depot	5.55	23.55													
							21.25	22.45	Worli Depot	19.45	23.45	14.8												
	6	6	7	SD	CD	Colaba Depot	5.30	23.30	Worli Depot	5.55	23.40	14.8	55	60	62	67	25	21	20	25		Colaba Depot	 ---	SUN
	7	7	7	SD	CD	Colaba Depot	5.30	23.30	Worli Depot	5.55	23.45	14.8	55	60	62	67	20	18	20	20	25	Colaba Depot	 ---	HOL
45	10	10	10	SD	ANK	Mantralaya	7.00	21.45	Anik Depot	5.55	19.55	20.4	60	70	105	110	18	19	22	21	 	Anik Depot	 ---	MS
						Mayo Road	21.51	22.35	Anik Depot	20.23	21.20	18.0												
	1	0	1	SD	CD	Mantralaya	8.57	 	M.Phule Market	9.23	11.30	3.2		52				23		53		Colaba Depot		MS
						Mantralaya	 	19.45	M.Phule Market	19.00	 	3.2												
	9	9	10	SD	ANK	Mantralaya	7.00	21.00	Anik Depot		19.16	20.4	58	80	90		27	10	21	19	 	Anik Depot	 ---	SUN
						Chh.Shivaji Terminus	21.00	22.45	Anik Depot	19.45	21.40	18.0												
